Product Title,Product URL,Date Scraped,Compressor brand,core components,Packaging,type,material,Surface material,application,size,Running Weight,Product name,cooling type,Fin space,dimension(l*w*h),Condition,Model,Capacity,Application,Horse power,Fan brand,After Warranty Service,After-sales Service,Fans,Power supply,Delivery,Cooling capacity,Door type,After-sale Service,Condenser,power(w),After-sales Service Provided,Cold room doors,Heat exchanger air area,Fan Type,Cold Room Panel Thickness,Certification,Model Number,Heating capacity,Keywords,SERVICE,Key Selling Points,Single gross weight:,after-sales service provided,Port,QTY of Glass Door,Fin material,Tube diameter,Length,brand name,other price,Brand Name,Keyword,Supply Ability,Parking,Item,Advantage,Machinery Test Report,Packaging Details,Axial fan power,electrical expansion valve,Key words,Dimension(L*W*H),Cooling type,Panel Thickness,Warranty,key selling points,Core material,Air-cooled Condenser,Temperature,Power,Description,Panel thickness,controller board,Size,Axial fan air volume,Temp controller,Thickness of Color Steel,Compressor,Horse Power,Cooling system,Thickness of PU Panel,Type,refrigerant,voltage,Voltage,Single package size:,FIn type,"dry filter,sight glass",temperature,Product Type,Fan,model number,Density,Condenser type,panel thickness,Condensing unit,Color,Panel,Place of Origin,mounting type,Shape,Brand,Weight (kg),weight (kg),power,Standard air cooler,Cold room use,heat removal,Selling Units:,Coil Material,warranty,feature,FPI,Packing,video outgoing-inspection,Glass Door Size,Tem. range,Project Solution Capability,fan motors type,Customized,Panel Material,Applicable temperature,OEM service,power source,Walk in Cooler Freezer Door Type,Lead Time,Design Style,Function,place of origin,MOQ,Width,Fireproof,Usage,Fan motor,Cooling Type,Refrigerant,Material,Cold Room Ship,transport weight,Pump type,Compressor type,Raw Material,Cooling way,Placement Method,Surface,machinery test report,Weight (KG),Control system,Pressure sensor,Tube material,Usage of cold room,Sample service,Panel material,Functions,Type of packaging,Tube plate,cooling capacity,Power requirement,door type,color,Thickness,Applicable Industries,compressor brand
N/A,https://www.alibaba.com/product-detail/CSCPOWER-40feet-Reefer-Freezer-20ft-Container_1600164246300.html,2025-02-19 15:21:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Containerized Blast Freezer,N/A,N/A,N/A,N/A,N/A,20ft/40ft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70mm/100mm/120mm/150mm/200mm,ISO/CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fuzhou, Xiamen,etc.",N/A,N/A,N/A,N/A,N/A,N/A,CSCPOWER,N/A,100 Set/Sets per   Year,N/A,N/A,N/A,N/A,Standard Export Packing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Multiple, 50Hz/60Hz",N/A,Air cooled/Water Cooled/Evaporate Cooling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-35℃ ~ +20℃,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,"Fujian, China (Mainland)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unavailable,Container,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quick-freezing Food,China,N/A,N/A,N/A,N/A,N/A,N/A,R404A/R507/R22/etc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A
Most Popular Low Price Cold Room Storage Freezer. Most Popular Low Price Cold Room Storage Freezer,https://www.alibaba.com/product-detail/Most-Popular-Low-Price-Cold-Room_1600931013141.html?s=p,2025-02-19 15:22:10,N/A,"Pressure vessel, motor, PLC, Engine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,custom made,N/A,N/A,N/A,N/A,N/A,N/A,"Video technical support,Field maintenance and repair service",N/A,N/A,N/A,N/A,50 tons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sharewe,N/A,N/A,N/A,800 Piece/Pieces per   Month,N/A,N/A,N/A,N/A,carton with pallet blast freezer deep freezer cold room for sale,N/A,N/A,N/A,"Cold Room Dimension, Customized",N/A,N/A,N/A,Competitive Price,N/A,N/A,-60℃ ~ +20℃,"5KW-200KW, Customized",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110v~480v,"220V/380V, Customized",N/A,N/A,N/A,-45℃ ~ +20℃,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, 50MM, 150mm, 50",N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ruits, vegetables, flowers, fish, meat,",N/A,N/A,N/A,3 years,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customer requirements,N/A,N/A,N/A,N/A,Air cooling/water cooling/evaporative cooling,"TECUMSEH, Bitzer, hitachi, Other, Emerson"
Italy Laifukang New SW3L8000 Cold Storage Unit Two Parallel 160-Horse Low-Temperature Quick-Freezing Screw Unit Condensing Units,https://www.alibaba.com/product-detail/Italy-Laifukang-New-SW3L8000-Cold-Storage_1601377385742.html,2025-02-19 15:22:26,N/A,Pressure vessel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1200*1200*1800mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Room Compressor Unit,N/A,N/A,N/A,N/A,High productivity,N/A,N/A,-45℃~-40℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R404a,380v/50hz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Laifukang screw machine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160hp,N/A,N/A,N/A,N/A,N/A,Other
Walk in Cold Room for Meat Fish Cooling Room Cold Storage Coldroom Frozen Food Cold Room,https://www.alibaba.com/product-detail/Walk-In-Cold-Room-For-Meat_1601104018212.html?s=p,2025-02-19 15:22:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Manufacturer-Hot-Sale-Cold-Storage-Cool_1601298645543.html,2025-02-19 15:22:54,N/A,Other,N/A,N/A,N/A,color steel or stainless steel or aluminum,N/A,customized,N/A,N/A,N/A,N/A,customized,new,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,all available,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,As per your requirements,N/A,N/A,1 year,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V/380V,N/A,1X0.1X0.02 cm,N/A,N/A,-45C to 20C,N/A,N/A,N/A,N/A,N/A,50mm 80mm 100mm 120mm 150mm 180mm 200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fresh-keep, freezing, quick-freezing, fire-proof, explosion-proof,",N/A,N/A,Other,N/A,"hinged door, sliding door, standard return door",N/A,N/A,N/A,TECUMSEH
Outstanding Quality  Cold Room Freezer  Cold Room Storage Industrial Cold Room Equipment,https://www.alibaba.com/product-detail/Outstanding-Quality-Cold-Room-Freezer-Cold_1601266274253.html?s=p,2025-02-19 15:23:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walk-in Freezer Storage Cold Storage Refrigeration Product Category Condensing Units Cold Room Refrigeration Unit,https://www.alibaba.com/product-detail/Walk-in-Freezer-Storage-Cold-Storage_1601344922772.html,2025-02-19 15:23:22,N/A,"PLC, Gearbox, Gear, Bearing, Other, motor, Pressure vessel",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Condensing Unit,N/A,N/A,1450*800*1000mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Video Technical Support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainable, Automatic, High-accuracy, Easy to Operate, Competitive Price, High Productivity, Other, Remote Monitoring, Long Service Life, Bi-Color, Remote Control, Patented Product, Low Maintenance Cost, Famous brand PLC, Energy saving, R410a, Accurate temperature control, Digital, IoT",N/A,N/A,-20-8c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland ZB Scroll,N/A,N/A,N/A,Box-Type,"R404A,R507A,R448A,R449A,R410A,etc","220V, 380V",380V-440V/3Ph/50HZ-60HZ,145X80X100 cm,N/A,N/A,N/A,N/A,N/A,ZB15KQE~ZB220KQE,N/A,Air Cooler Condenser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Refrigerating System Parts,N/A,Air Coolded Condenser,R404A/R507A,N/A,N/A,N/A,N/A,Scroll Compresor,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2KW~80KW,N/A,N/A,N/A,N/A,N/A,Copeland
Large Cold Storage 20hp 25hp 30hp 40hp Condensing Unit for Quick Frozen Food Distribution Refrigerated Truck Cold Chain,https://www.alibaba.com/product-detail/Large-Cold-Storage-20hp-25hp-30hp_1601298450759.html,2025-02-19 15:23:41,N/A,motor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooled Refrigeration Condensing Unit,N/A,N/A,1400x950x1300,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monoblock Refrigertion Unit,N/A,N/A,Cooler Refrigeration Unit,N/A,N/A,N/A,N/A,N/A,Cold Room Compressor Unit,N/A,N/A,N/A,N/A,"Sustainable, Automatic, High-accuracy, Easy to Operate, Competitive Price, Energy saving, Accurate temperature control, Digital, Remote Monitoring, IoT",N/A,N/A,-30-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Temperature,R404 R22 R507,3ph220v/380v,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LTYT-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Meat Storage,"Guangdong, China",N/A,N/A,N/A,Frozen Food,N/A,Evaporative Cooled,N/A,N/A,N/A,N/A,N/A,Scroll Compresor,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,powerful,N/A,N/A,N/A,N/A,N/A,Bitzer
Large Logistics Cold Storage Room Walking in Freezing Equipment Cold Room Storage Refrigeration Condenser Unit Cold Room Price,https://www.alibaba.com/product-detail/Large-Logistics-Cold-Storage-Room-Walking_1601246257569.html,2025-02-19 15:23:59,N/A,Pressure vessel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Large Cold Storage Room Logistics Warehouse 5000 Tons,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,DONGAN,N/A,N/A,N/A,N/A,N/A,N/A,Insulated,N/A,N/A,N/A,N/A,N/A,As per your requirements,N/A,100-250mm,N/A,Low Maintenance Cost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/220v,110v~480v,10X15X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100mm 120mm 150mm 180mm 200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,Energy-Saving,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,+25- -45℃,N/A,N/A,N/A,N/A,N/A,N/A,"Heilongjiang, China",N/A,N/A,N/A,N/A,N/A,N/A,R404A/R507A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fresh-keep, freezing, quick-freezing, fire-proof, explosion-proof",N/A,N/A,N/A,N/A,"hinged door, sliding door, standard return door",N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, Other, Maneurop, Fusheng, DORIN, Sanyo, Xumei"
