Product Title,Product URL,Date Scraped,Control type,Power suppy,Cooling capacity,Thickness of Panel,Complication,Door,Measuring Object,Industries,Temperature range,Condition,Brand,Refrigerant of cold room,Defrosting Contactor,Weight Capacity,After Warranty Service,Packing,Panel Material,Size specification,Product Name,weight (kg),Usage of cold room,Panel Thickness,Structure,Packaging Details,Surface Treatment,Cooling system,style,After-sales Service,model number,Drawing  format,Memory,key selling points,Place of Origin,core components,Construction,Compressive strength,Feature,Function,Selling Units:,Supply Ability,Thickness,Cooling way,Cold room door,Applicable place,Refrigerating unit:,Hole size,accuracy level,Panel,Panel Density:,Indicator,Evaporator brand,machinery test report,Power Consumption,after-sales service provided,Volume,Control mode,Temperature Measuring Range,ip level,climate type,Panel material,Model Number,PAYMENT,operating language,Marketing Type,Voltage (V),Installation:,Width,I/O number,Custom,voltage,Communication interface,Compressor type,Plate Thickness,Steel Material,refrigerant,video outgoing-inspection,Air cooler contactor,Import or not,warranty,Single package size:,Cooling Type,Temperature Control Range,Color,Single gross weight:,Cooling way:,Resolution,eco-friendly,Project Solution Capability,Panel connection,Type,Surface treatment,Rated Current,Suitable for Cooling,Surface Material,Types,Temperature measurement error,Phase sequence protection,Power Supply,Door type,Lead Time,place of origin,application,Delivery time,Keywords,Box Type,Cooling water,Refrigerant,Control system,Density,Dimension(L*W*H),Compressor,External Size,Application,compressor brand,Measuring range,Air switch,Design Style,capacity,type,Connection System,power source,Temperature control,Advantage,Controller,Operating temperature,Application:,Brand Name,Cooling approach:,Panel thickness,feature,Core material,Installation,brand name,cooling capacity,Key Selling Points,Layer,Functions,Air cooler,Thickness of panel:,Surface material of cold room,Storage temperature Range,Applicable,Weight (KG),Wall panel of cold storage room,Size,Certification,rated voltage,Voltage,Compressor brand,Dimension,Insulation types,color,Customized processing,dimension(l*w*h),temperature,Surface material,Model,Panel core material,Relative humidity,logo/pattern,Product Type,Refrigerant:,temperature range,Customization,After-sale Service,After Warranty Service:,Original Factory,Country of origin,condition,panel thickness,power,Certificate,Box size,Sensor Type,Functions:,Certification:,Temperature Range,Insulation material,Logo,customized support,Product name,Usage,Port,Shipping package,After-sales Service Provided,Display mode,Material,Keyword,Doors,Warranty,Compressor Contactor,COLOR,Local power supply,MOQ
Aluminum Cold Room Control Insulation Sandwich PIR/PU/EPS /Rock Wool Panels Cold Storage 100mm 150mm for Cold Room,https://www.alibaba.com/product-detail/Aluminum-Cold-Room-Control-Insulation-Sandwich_1601279998432.html,2025-02-19 16:37:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,"water resistant, Fire Resistant",N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BK-B02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40X30X20 cm,N/A,N/A,N/A,5.000 kg,N/A,N/A,Sustainable,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Coldroom Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SDBK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly Accurate,N/A,Refrigerated Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,insulation sandwich PIR/PU/EPS /Rock Wool panels,Cold Cold Storage Plant,N/A,N/A,N/A,N/A,"steel, Aluminum, Rock wool, PIR",N/A,N/A,3 years,N/A,N/A,N/A,N/A
Single Head Small Intelligent Integrated Machine Control Panel Cold Storage Controller PAC & PLC Dedicated Controller,https://www.alibaba.com/product-detail/Single-Head-Small-Intelligent-Integrated-Machine_1601057972293.html,2025-02-19 16:37:54,Temperature,N/A,N/A,N/A,N/A,N/A,"Cooling Agent (water, brine)",N/A,N/A,N/A,Barley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,190*115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Intelligent temperature control regulator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,SC12FR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-30~150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Commercial Cold Room Storage Units with Advanced Temperature Control,https://www.alibaba.com/product-detail/Commercial-Cold-Room-Storage-Units-with_1601375795101.html,2025-02-19 16:39:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,"Bearing, Gearbox, PLC, GEAR, PRESSURE VESSEL",N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V, 380V, 420V, 440V",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,1000X200X200 cm,N/A,N/A,N/A,1500.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Emerson, Fusheng, Frascold, TECUMSEH, Copeland, Bitzer",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,N/A,FS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Parts 220v 3hp  Electrical Control Panel Box,https://www.alibaba.com/product-detail/Cold-Storage-Parts-220v-3hp-Electrical_1601095952839.html,2025-02-19 16:40:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ECB-5080S,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free spare parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TT,English,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,50X60X40 cm,N/A,N/A,N/A,5.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,"Hotel, Commercial",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,blue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silk screen printing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Archi-Cool-Room-Panels-Cold-Storage_1601106104930.html,2025-02-19 16:41:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Automated-Warehouse-Solution-Cold-Rooms-Rack_1601314970330.html?s=p,2025-02-19 16:41:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 4000KG per Level,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Assemble,N/A,powder coated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,Corrosion Protection,Large Load Capacity Warehouse Storage,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ASRS System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,N/A,Blue / Orange or Customized,kg,N/A,N/A,N/A,N/A,N/A,Automated Retrieval,Powder Coating,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Warehouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE ISO14001 ISO9001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic warehouse shelves rack ASRS racking system,Warehouse Storage System,N/A,N/A,N/A,N/A,Steel Q235,asrs system,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Sliding Door Control System  Electric Sliding Door Controller Electrical Control Panel Box in Sale,https://www.alibaba.com/product-detail/Cold-Storage-Sliding-Door-Control-System_1600430004723.html,2025-02-19 16:42:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,Single item,50 Set/Sets per   Week,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electrical,N/A,N/A,Ordinary Product,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120X120X120 cm,N/A,N/A,N/A,120.000 kg,N/A,N/A,N/A,total solution for projects,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room door closer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Minran,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized based on your need,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding door control system,Cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE,N/A,N/A,N/A,N/A
Storage of Dairy Products Cold Storage Plate Factory Price Product Customization Pur Pu Sandwich Panels for Cold Room,https://www.alibaba.com/product-detail/Storage-Of-Dairy-Products-Cold-Storage_1600691679863.html?s=p,2025-02-19 16:42:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
