Product Title,Product URL,Date Scraped,Control type,Power suppy,Cooling capacity,Thickness of Panel,Complication,Door,Measuring Object,Industries,Temperature range,Condition,Brand,Refrigerant of cold room,Defrosting Contactor,Weight Capacity,After Warranty Service,Packing,Panel Material,Size specification,Product Name,weight (kg),Usage of cold room,Panel Thickness,Structure,Packaging Details,Surface Treatment,Cooling system,style,After-sales Service,model number,Drawing  format,Memory,key selling points,Place of Origin,core components,Construction,Compressive strength,Feature,Function,Selling Units:,Supply Ability,Thickness,Cooling way,Cold room door,Applicable place,Refrigerating unit:,Hole size,accuracy level,Panel,Panel Density:,Indicator,Evaporator brand,machinery test report,Power Consumption,after-sales service provided,Volume,Control mode,Temperature Measuring Range,ip level,climate type,Panel material,Model Number,PAYMENT,operating language,Marketing Type,Voltage (V),Installation:,Width,I/O number,Custom,voltage,Communication interface,Compressor type,Plate Thickness,Steel Material,refrigerant,video outgoing-inspection,Air cooler contactor,Import or not,warranty,Single package size:,Cooling Type,Temperature Control Range,Color,Single gross weight:,Cooling way:,Resolution,eco-friendly,Project Solution Capability,Panel connection,Type,Surface treatment,Rated Current,Suitable for Cooling,Surface Material,Types,Temperature measurement error,Phase sequence protection,Power Supply,Door type,Lead Time,place of origin,application,Delivery time,Keywords,Box Type,Cooling water,Refrigerant,Control system,Density,Dimension(L*W*H),Compressor,External Size,Application,compressor brand,Measuring range,Air switch,Design Style,capacity,type,Connection System,power source,Temperature control,Advantage,Controller,Operating temperature,Application:,Brand Name,Cooling approach:,Panel thickness,feature,Core material,Installation,brand name,cooling capacity,Key Selling Points,Layer,Functions,Air cooler,Thickness of panel:,Surface material of cold room,Storage temperature Range,Applicable,Weight (KG),Wall panel of cold storage room,Size,Certification,rated voltage,Voltage,Compressor brand,Dimension,Insulation types,color,Customized processing,dimension(l*w*h),temperature,Surface material,Model,Panel core material,Relative humidity,logo/pattern,Product Type,Refrigerant:,temperature range,Customization,After-sale Service,After Warranty Service:,Original Factory,Country of origin,condition,panel thickness,power,Certificate,Box size,Sensor Type,Functions:,Certification:,Temperature Range,Insulation material,Logo,customized support,Product name,Usage,Port,Shipping package,After-sales Service Provided,Display mode,Material,Keyword,Doors,Warranty,Compressor Contactor,COLOR,Local power supply,MOQ
Cold Storage Room With PU Insulated Calmlock Sandwich Panel Cold Room Panel,https://www.alibaba.com/product-detail/Cold-Storage-Room-With-PU-Insulated_1601283818594.html,2025-02-19 16:42:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customazition,N/A,"motor, Compressor, Sandwich Panel, Evaporator, Expansion Valve",N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,Condenser Etc,N/A,N/A,N/A,45 KGS per cubic meter,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With drawing,N/A,N/A,N/A,220v-380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,3 years,3X2.3X2.5 cm,N/A,N/A,N/A,1000.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer, Emerson",N/A,N/A,N/A,N/A,N/A,Cam lock system,N/A,N/A,N/A,N/A,N/A,Food Fresh,N/A,Water cooled or air cooled,N/A,Customazition,N/A,N/A,YangChuan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customazition,N/A,N/A,N/A,N/A,N/A,N/A,Build Cold Room Freezers,R22/R404a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quick-freezing,"CE,ISO9001",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.5kw High-quality Metal Electrical Control Cabinet 12v Variable Frequency Control Box Customized Switchgear Vfd Control Panels,https://www.alibaba.com/product-detail/7-5kw-High-quality-Metal-Electrical_1601277639340.html?s=p,2025-02-19 16:42:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consult customer service,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ask the shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.5kw Frequency conversion control box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125X55X45 cm,N/A,N/A,N/A,26.560 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"60A, 30A, 32A, 100A, 300A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consult customer service,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consult customer service,N/A,loka,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"48V, 120V, 240V, 480V, 24V, 12V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LCD DISPLAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Quality-50mm-Cool-Room-Sandwich_1601239347859.html,2025-02-19 16:44:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/80/100/120/150/200mm Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TQ0010,N/A,N/A,N/A,N/A,N/A,1.12m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,Sandwich Panel Movable Wall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40-42kg/m3,N/A,N/A,N/A,"Ware house,Supermarket,Hotel,Hospital,Farmhouse",N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,"Fire Proof,Water Proof,Heat Insulation,Easy Install",N/A,N/A,N/A,Tianqiao,N/A,N/A,N/A,Polyurethane Foam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Sandwich Panel,Construction Insulation,"Qingdao,Tianjin,Shanghai,Shenzhen",N/A,N/A,N/A,PIR + Color Steel Sheet/Stainless Steel Sheet,N/A,N/A,1 Year,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Bescool-Cold-Storage-Electric-Control-Box_1600998591858.html,2025-02-19 16:44:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18A/12A/25A/32A/40A/50A/65A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,12A/18A/25A,N/A,Unavailable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, except 2P",N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,Air cooled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2P/32A;4P/32A;4P/60A;4P/80A;4P/100A,N/A,N/A,N/A,N/A,N/A,5060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bescool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Control Box, electrical control box",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,accoring to different item code,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Electric Control Box Refrigeration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18A/12A/25A/32A/40A/50A/65A/85A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Quality-Large-Cold-Room-Modular_1601366396633.html,2025-02-19 16:44:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fruits, vegetables, meat, beer,dairy,breads,etc",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,"PLC, compressor, air cooler, cold room light, PUR panels, condenser",N/A,N/A,N/A,N/A,Single item,N/A,N/A,Air Cooling Condesor,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200 Mm PU/PIR Panels,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110v~480v,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,70X70X70 cm,N/A,N/A,N/A,68.000 kg,Air Cooled System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hinged Door Sliding Door,N/A,"Henan,China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Bitzer, Daikin, hitachi, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,N/A,Tianjie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customize,N/A,Stainless steel or color steel,N/A,N/A,N/A,N/A,N/A,R-22 R-404A R-407 R-408 R-507,N/A,N/A,N/A,Video technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,N/A,Freezing Chamber,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elitech ECB-1000P ECB-1000plus Intelligent Plastic Electrical Board Control Panel Box for Seafood Machine Cold Storage,https://www.alibaba.com/product-detail/Elitech-ECB-1000P-ECB-1000plus-Intelligent_1601012608735.html,2025-02-19 16:44:38,N/A,"220VAC±10%, 50/60HZ",N/A,N/A,N/A,N/A,N/A,N/A,-40℃~+99℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7-10days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Room/seafood machine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Elitech,N/A,Temperature controller/thermostat,N/A,N/A,N/A,N/A,N/A,PC ABS plastics,N/A,N/A,N/A,N/A,N/A,N/A,80pcs
N/A,https://www.alibaba.com/product-detail/Cold-Storage-Door-Price-Polyurethane-Insulation_1601021877990.html?s=p,2025-02-19 16:44:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Video technical support, Online support",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Plywood packing, 100% safe.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Service Life,N/A,"Pressure vessel, motor, Pump, Engine",Assembled,N/A,N/A,N/A,N/A,200 Set/Sets per   Week,N/A,N/A,N/A,processing plant/distributors/resellers/sellers,N/A,N/A,N/A,N/A,N/A,N/A,"Cabero, Bingshan, CRYO",Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"230V/1p/50Hz, 400V/3p/50~60Hz",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,"R22, R404A, R134a",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dixell,N/A,N/A,N/A,N/A,N/A,Easy to operate,N/A,N/A,Cryo Systems Refrigeration,40ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Original world famous brand compressors,N/A,N/A,N/A,N/A,Customized,+15~-55℃ (+60~-70)F,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, 50MM, 150mm, 180mm, 250mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"seafood/frozen food/fruits/vegetable/chicken, fish, etc",N/A,Standard export packing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Room Cooling Panels Cold Room Panel With Cam Lock 100mm Cooler Panels,https://www.alibaba.com/product-detail/Cold-Storage-Room-Cooling-Panels-Cold_1600554921391.html,2025-02-19 16:45:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Video technical support, Online support, Spare parts",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Packaging Details:Standard Sea Worthy PackingPort: Ningbo / Shanghai / Or other ports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Service Life,N/A,"Pressure vessel, motor, Other, Bearing, Gear, Gearbox, PLC, Pump, Engine",N/A,N/A,N/A,N/A,N/A,500 Set/Sets per   Month,N/A,N/A,"Hinged door , swing door , sliding door",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/50Hz/3Phase or Customized,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,R404A or others,N/A,N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer, Other, Emerson",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Corrosion Resistant,N/A,N/A,N/A,N/A,N/A,N/A,Soundproof Panel Building Materials,N/A,N/A,Jaryee,Customer requirements,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,customized,Customized,N/A,N/A,Customized,45℃~-145℃,N/A,N/A,PU or PIR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, Other, 50MM, 150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room,N/A,All seaports,N/A,"ree spare parts, Field installation, commissioning and training",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Factory-Direct-Price-Cold-Room-for_1601174653372.html,2025-02-19 16:45:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZSTR China Manufacture Low Cost Easy to Operation Control System Cold Storage Room Electric Control Box,https://www.alibaba.com/product-detail/ZSTR-China-Manufacture-Low-Cost-Easy_1601208988950.html,2025-02-19 16:46:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
