Product Title,Product URL,Date Scraped,Compressor brand,Cooling Area,core components,type,application,Product name,dimension(l*w*h),Model,Application,Fan Quantity,structure,power(w),Cold room doors,Inlet,Defrosting,Fan Pressure,Single gross weight:,Port,brand name,Supply Ability,Feature,area(㎡),Packaging Details,Fan Blade,Key words,Dimension(L*W*H),Warranty,key selling points,Noise,Motor Fan,Temperature,Panel thickness,Fan quantity,Temp controller,Fin Spacing,Type,refrigerant,voltage,Voltage,Single package size:,voltage(V),Air Flow,temperature,model number,panel thickness,Color,Original,mounting type,Brand,Power(W),weight (kg),Standard air cooler,Copper tube diameter,Fan Motor,Selling Units:,warranty,feature,Tube volume,video outgoing-inspection,Casing,Tem. range,Ref Refrigeration Capacity,Fan dia,Weight,Function,airflow,place of origin,MOQ,Usage,Cooling Type,Material,Refrigerant,Surface,machinery test report,Weight (KG),Panel material,Outlet,operating voltage,cooling capacity,Air Throw,model,Air Volume,compressor brand
BLT033-NC Ac Evaporator Coil for Cold Storage Freezer Evaporator Coil,https://www.alibaba.com/product-detail/BLT033-NC-Ac-Evaporator-Coil-for_60843624123.html,2025-02-19 15:37:41,N/A,N/A,N/A,Evaporator,Refrigeration Parts,Cold room air cooler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,shanghai,BONH,1000 Piece/Pieces per   Month,N/A,N/A,the wooden packaging,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medium-low capacity,N/A,N/A,220V/50HZ,N/A,N/A,N/A,N/A,N/A,N/A,White,Made in china,N/A,BONH,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35kg,refrigeration,N/A,"Jiangsu, China",N/A,N/A,N/A,Aluminum plate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220v Refrigeration Evaporative air Cooler for Cold Room Used Unit Cooler for Cold Room,https://www.alibaba.com/product-detail/220v-Refrigeration-Evaporative-Air-Cooler-For_1600317233163.html?s=p,2025-02-19 15:40:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air Cooling System Ammonia Industrial Dual Discharge Unit Cooler Cold Storage Use freon Low Temperature Fans Evaporator,https://www.alibaba.com/product-detail/Air-Cooling-System-Ammonia-Industrial-Dual_1601265100644.html,2025-02-19 15:40:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20ft/40ft Minus 30 Degree Reefer Freezer Solar Powered Cold Storage Room Competitive Panel New Refrigerated Fridge Container,https://www.alibaba.com/product-detail/20ft-40ft-Minus-30-Degree-Reefer_1601358775078.html?s=p,2025-02-19 15:40:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beifeng Factory Cold Storage Air Cooler Walk in Freezer Evaporator Cold Room Indoor Units,https://www.alibaba.com/product-detail/Beifeng-Factory-Cold-Storage-Air-Cooler_1601282791499.html,2025-02-19 15:42:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manufacturer Wholesale Cold Room Refrigerator Freezer Evaporator Cold Storage Room,https://www.alibaba.com/product-detail/Manufacturer-Wholesale-Cold-Room-Refrigerator-Freezer_1601266171469.html,2025-02-19 15:42:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Server Liquid Immersion Cooling System Dry Water Fan Type Air Cooler Industrial Evaporator for Cold Freezer Storage Room,https://www.alibaba.com/product-detail/Server-Liquid-Immersion-Cooling-System-Dry_1600985632131.html,2025-02-19 15:42:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evaporative Condenser Cold Storage Refrigeration Three or Seven Effect Evaporative Cooling Closed Cycle Cooling Ammonia System,https://www.alibaba.com/product-detail/Evaporative-Condenser-Cold-Storage-Refrigeration-Three_1601264729285.html,2025-02-19 15:43:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chinese Factory Price Cold Room Storage Portable Cold Room for Frozen Food,https://www.alibaba.com/product-detail/Chinese-Factory-Price-Cold-Room-Storage_1601266028717.html?s=p,2025-02-19 15:43:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD DJ DL  Double Row Floor Standing Cold Room Evaporator Industrial Evaporator Evaporator for Cold Storage,https://www.alibaba.com/product-detail/DD-DJ-DL-Double-Row-Floor_1601158660447.html,2025-02-19 15:43:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Outstanding-Quality-Cold-Room-Freezer-Cold_1601266274253.html?s=p,2025-02-19 15:44:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R22 R404A Cold Room Refrigeration Evaporative 2 Fan Air Cooler Evaporator for Storage Room,https://www.alibaba.com/product-detail/R22-R404A-Cold-Room-Refrigeration-Evaporative_62566810012.html,2025-02-19 15:44:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Room Manufacturers Display Cold Room Glass Door Walk in Cooler Freezer,https://www.alibaba.com/product-detail/Cold-Room-Manufacturers-Display-Cold-Room_1601158139569.html?s=p,2025-02-19 15:45:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Industrial Cold Storage Machine Air Cooler Refrigeration Equipment Evaporator Units,https://www.alibaba.com/product-detail/Industrial-Cold-Storage-Machine-Air-Cooler_1600300348562.html,2025-02-19 15:45:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Logistics Cold Storage Freezer Cold Room Project Walk in Chiller and Cooler for Warehouse,https://www.alibaba.com/product-detail/Logistics-Cold-Storage-Freezer-Cold-Room_1601289478506.html?s=p,2025-02-19 15:45:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025 Hot Sale Two Axial Fan Cold Storage Room Evaporator With Low Noisy,https://www.alibaba.com/product-detail/2025-Hot-Sale-Two-Axial-Fan_60776266893.html,2025-02-19 15:45:59,N/A,N/A,N/A,Evaporator,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.000 kg,N/A,Techco for cold room evaporator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20X40X40 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,2 years,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Customized Industrial Cold Room Walk-In Freezer New Condition Refrigerator for Fish and Meat Small Cold Storage,https://www.alibaba.com/product-detail/Customized-Industrial-Cold-Room-Walk-In_1601297072396.html?s=p,2025-02-19 15:46:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Good Price Cooling Room Heater Defrost Refrigeration Air Cooler Evaporator for Cold Storage Room,https://www.alibaba.com/product-detail/Good-Price-Cooling-Room-Heater-Defrost_1600237778028.html,2025-02-19 15:46:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walk in Cold Room for Meat Fish Cooling Room Cold Storage Coldroom Frozen Food Cold Room,https://www.alibaba.com/product-detail/Walk-In-Cold-Room-For-Meat_1601104018212.html?s=p,2025-02-19 15:47:10,Original world famous compressors,N/A,"Pressure vessel, motor, Pump, Engine",N/A,N/A,N/A,Up to you,N/A,N/A,N/A,N/A,N/A,"Returen door, Hinged door, Sliding door, etc",N/A,N/A,N/A,kg,N/A,CRYO SYSTEMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,N/A,N/A,"75, 100, 120, 150mm",N/A,Dixell,N/A,N/A,N/A,380V/3P/50Hz or 220V/1P/50Hz,N/A,XX cm,N/A,N/A,"-5~+5, -5~-18, <=-18 °C",N/A,"100MM, 200mm, 120mm, 75mm, 50MM",N/A,N/A,N/A,Cryo Systems,N/A,N/A,From one fan to four fans,N/A,N/A,Single item,1 Year,Good Cooling Capacity,N/A,Provided,N/A,"-5~+5, -5~-18, <=-18 °C",N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,"Meat, Food, Sea Food, Fish, etc",N/A,N/A,R404A,N/A,Provided,N/A,Pu (polyurethane),N/A,N/A,2.5ton,N/A,N/A,N/A,Original world famous compressors
New Airflow Air Cooler Cold Storage Industrial Evaporative Air Cooler,https://www.alibaba.com/product-detail/New-Airflow-Air-Cooler-Cold-Storage_1601292429334.html,2025-02-19 15:47:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
