Product Title,Product URL,Date Scraped,Compressor brand,Water absorption,Hanging force,Panel Density:,Effective Width,core components,Board surface,Grade,Surface material,Insulation material,Fireproof Grade,application,Polyurethane,size,Product name,dimension(l*w*h),Condition,Marketing Type,Application,After Warranty Service,Thermal Conductivity,Raw material,After-sales Service,Dimensional Stability,Sample,Foam insulation value,temperature Range,Warranty period,brand,Door type,Open Style,After-sale Service,After-sales Service Provided,Wind resistance,Processing Service,Warranty of core components,eco-friendly,Product Name,Model Number,Certification,Package,Cold room temperature,Surface Finishing,Opening Method,Keywords,Standard,Doors,Insulation density,Zinc Coating,Single gross weight:,Port,Surface Material,Length,Flame Retardant Rating,brand name,Connection,Features,Sandwich type,Door Type,Color steel thickness,Brand Name,Core material thickness,Keyword,Refrigerant:,Supply Ability,Feature,Metal thickness,Advantage,Applicable Industries,Packaging Details,Panel length,Plate thickness,Metal Sheet Thickness,density,Key words,Colors,Dimension(L*W*H),Metal Surface,OEM/ODM,Packging Detail,Panel Thickness,Warranty,Inside material,Industries,key selling points,Core material,Leading time,Panel width,Temperature,Door Material,Percentage Of Close Area,Panel thickness,Thermal conductivity,Thermal conductivity coefficient,Application:,Size,Thickness of Color Steel,STEEL THICKNESS,Application of Industry,Applicable,Metal plate,Compressor,Functions:,Cooling system,Property,Coating,Cooling approach:,Type,voltage,Single package size:,Origin,temperature,Product Type,Compressive strength,Density,model number,Condensing unit,panel thickness,Cold Room Panel Type,Color,Place of Origin,Product density,Shape,Brand,power,Thickness of panel,Application scenarios,Installation:,Connection System,Selling Units:,Core Material,Tolerance,warranty,feature,Thickness Of Wood Plates,Packing,video outgoing-inspection,Standard Width,Outside material,custom,Local Service Location,Project Solution Capability,Combustion performance,Panel Material,Water Absorption Rate,Weight,Effective Length,Thickness Of Steel Plate,RAL Color,Operating temperature,Surface board material,Dimension,Certification:,Certificate,Design Style,Function,Enterprise Nature,place of origin,Refrigerating unit:,Width,Fireproof,function,Usage,Fire Rating,Dry shrinkage rate,diameter,Water Absorption,Steel Thickness,Material,PU Density,Established,Compressor type,Hardness,Raw Material,Surface,machinery test report,Max Length,Weight (KG),Thickness of Panel,Steel thickness,Thickness of Pu Panel,Panel material,Effective width,Functions,Core density:,Delivery Time,cooling capacity,Metal sheet thickness,Bending strength,door type,Elongation At Break,Thickness,Plate Width,Showroom Location,length,Outer Steel Plate,compressor brand
PU Panel Cold Storage Room Insulated Cam Lock Sandwich Panel for Cold Room,https://www.alibaba.com/product-detail/PU-Panel-Cold-Storage-Room-Insulated_1601378688813.html,2025-02-19 15:14:11,N/A,N/A,N/A,N/A,N/A,"PRESSURE VESSEL, MOTOR",N/A,N/A,"double-sided color steel, stainless steel, embossed aluminum",N/A,N/A,N/A,N/A,N/A,N/A,customizable,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.426mm,0.5mm, 0.6mm, 0.8mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,Easy to Operate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customzied Size,N/A,N/A,N/A,"Building Material Shops, Food & Beverage Factory, Restaurant, Retail,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220v-380v,60X50X40 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,Unavailable,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42KG/cubic metre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other
N/A,https://www.alibaba.com/product-detail/Polyurethane-Cold-Storage-Sandwich-Panel-Foam_1601010693745.html?s=p,2025-02-19 15:14:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cold storage, workshop",N/A,≤0.024W/M.K,N/A,N/A,≤±1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Onsite Inspection",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,N/A,B1,N/A,N/A,N/A,N/A,N/A,N/A,sharewe,N/A,N/A,N/A,10000 Square Meter/Square Meters per   Day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,≥95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40X25X25 cm,N/A,N/A,N/A,N/A,40-45KG/m³,N/A,N/A,N/A,N/A,N/A,Xinxiang China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,50/75/100/120/150/200(mm),N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,metal,N/A,N/A,N/A,0.3/0.35/0.4/0.5(mm),N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,≤3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,≥1%,N/A,1130mm,N/A,N/A,N/A,N/A
High Quality 50mm/75mm/100mm/120mm/150mm/200mm Cold Storage Room Pu Panel for Sale,https://www.alibaba.com/product-detail/High-Quality-50mm-75mm-100mm-120mm_1601277775556.html,2025-02-19 15:14:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PU Wall Sandwich Panels Cold Room Panels Insulated Panels With Good Price,https://www.alibaba.com/product-detail/PU-Wall-Sandwich-Panels-Cold-Room_1601360374114.html?s=p,2025-02-19 15:14:55,N/A,N/A,N/A,N/A,N/A,Panel,N/A,N/A,Color Steel/Stainless Steel Plate or Customized,N/A,N/A,N/A,N/A,N/A,PU Wall Sandwich Panels Cold Room Panels Insulated Panels,1220*2440mm,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,Support 24hours/Day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BINGKE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized size,N/A,N/A,N/A,Cold Room PU Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Competitive Price, High Quality",Polyurethane,N/A,960-1140mm,N/A,N/A,N/A,50mm/75mm/100mm/120mm/150mm/200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"400V , 110V, 220V, 380V, customized",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer, BINGKE"
PU Sandwich Panels Polyurethane Foam PUR PIR PUF Cold Room Storage Warehouse Insulation Sandwich Panels/boards,https://www.alibaba.com/product-detail/PU-Sandwich-Panels-Polyurethane-Foam-PUR_1601046443182.html,2025-02-19 15:15:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Sheets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warehouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Other",N/A,N/A,N/A,N/A,N/A,Color steel rock wool /PU/EPS sandwich panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.000 kg,N/A,N/A,"Customized, less than 11.8m",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,red/blue/white grey,N/A,N/A,N/A,N/A,N/A,5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50X50X50 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chongqing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,Rock wool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, Others",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,Thermal insulation,N/A,N/A,N/A,950/1150mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40-120kg/m3 (50-70kg/m3 commonly used),N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200/250mm,N/A,N/A,N/A,Range is 0.3-0.6mm,N/A
High Quality 100mm Thermal Insulation Factory Direct Cold Storage Panels Polyurethane Sandwich Panels for Hotels,https://www.alibaba.com/product-detail/High-Quality-100mm-Thermal-Insulation-Factory_1601286065211.html?s=p,2025-02-19 15:15:23,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,Color Galvanized Steel Stainless Steel,Polyurethane Insulation Foam,N/A,N/A,N/A,N/A,Cold Storage PU-panel,N/A,N/A,N/A,Industrial Freezer Room,Online Guidance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fireproof Insulation Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sustainable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm/75mm/100mm/120mm/150mm/200mm/300mm,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,Polyurthane Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Panels,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/PU-Polyurethane-Foam-PUR-PIR-PUF_1601171936371.html,2025-02-19 15:15:35,N/A,N/A,N/A,N/A,1120 mm   1000mm   1150mm,N/A,N/A,N/A,N/A,N/A,B1,N/A,50mm 75mm 100mm 120 150mm 200mm,N/A,PU Sandwich Panel,N/A,N/A,N/A,Warehouse,N/A,0.022W/mK-0.026W/mK(25℃),N/A,N/A,N/A,N/A,N/A,-185℃~+110℃,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Other",N/A,N/A,N/A,N/A,N/A,N/A,TJpanel-0516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tianjie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4mm~0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26X26X26 cm,N/A,N/A,N/A,N/A,38-45kg per cubic meter,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,metal,less 3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Prepainted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Cam-lock-Pu-Insulation-Panels-for_1601114466959.html?s=p,2025-02-19 15:15:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Profession-Customized-50-200mm-Polyurethane-Sandwich_1600438512339.html,2025-02-19 15:15:58,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,"Stainless steel, color steel",N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,customized,N/A,N/A,"Cold room, insolated strorage room",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.701 kg,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,"Hinged door, swing door, sliding door",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/,35X24X12 cm,N/A,N/A,N/A,N/A,42-44 kg/m3,N/A,N/A,N/A,N/A,White or other,N/A,N/A,N/A,Enfriar,/,"50mm,75mm,100mm,120mm,150mm,200mm",N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland
PU Sandwich Panel 100mm PU Panel Thermal Insulation PU Panels for Cold Room Store,https://www.alibaba.com/product-detail/PU-Sandwich-Panel-100mm-PU-Panel_1601360301327.html?s=p,2025-02-19 15:16:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PU Insulation Sandwich Panels Walk in  Cold  Room for Fruits Fresh Storage,https://www.alibaba.com/product-detail/PU-Insulation-Sandwich-Panels-Walk-in_1600122821265.html,2025-02-19 15:16:26,N/A,N/A,N/A,N/A,N/A,PLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room,10*10*3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-23C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.000 kg,Shanghai,N/A,N/A,N/A,Meluck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 Set/Sets per   Month cold room equipment,N/A,N/A,N/A,N/A,wooden case/ carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,High-accuracy,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bitzer,N/A,N/A,N/A,N/A,N/A,N/A,380V/3P/50HZ or 60HZ,50X50X50 cm,N/A,-50℃ ~ +50℃,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Anhui, China",N/A,N/A,N/A,N/A,Fresh Keeping,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Semi-hermetic,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bitzer
N/A,https://www.alibaba.com/product-detail/Good-Quality-EPS-Cement-Sandwich-Wall_62336755644.html?s=p,2025-02-19 15:16:44,N/A,N/A,≥1000N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,insulated precast eps concrete cement sandwich wall panels,N/A,N/A,N/A,Hotel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Return and Replacement",N/A,N/A,N/A,N/A,N/A,N/A,EPS Sandwich cement panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.000 kg,Foshan/Guangzhou/Shenzhen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SANLE,N/A,N/A,N/A,600000 Square Meter/Square Meters per   Month,N/A,N/A,Eco-friendly Fireproof,N/A,Wooden pallet+ PE cover+corner protector,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19 W(m.k),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,244X61X17 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, total solution for projects, Cross Categories Consolidation",Grade A,Nonmetal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE ISO,All,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Interior Wall Partition,N/A,<0.5 Mm/m,N/A,N/A,N/A,Calcium Silicate Board+EPS+cement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/125/150mm/200mm,N/A,N/A,N/A,N/A,N/A
Best Quality China Manufacturer Pur Pir Puf Wall for Cold Room Storage Warehouse Pu Sandwich Panel,https://www.alibaba.com/product-detail/Best-Quality-China-Manufacturer-Pur-Pir_1600317700249.html,2025-02-19 15:16:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18mm Decorative PU Polyurethane Sandwich Panel Insulation Panels,N/A,N/A,N/A,Office Building,N/A,N/A,N/A,N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,TR-PU-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUSUS,N/A,N/A,N/A,N/A,N/A,N/A,heat Insulation/easy installation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custimized Size,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20X15X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,total solution for projects,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Metal Color Steel Sheet+PU,40-45kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3-0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25-200mm,N/A,N/A,N/A,N/A,N/A
