Product Title,Product URL,Date Scraped,Height,odor,Condition,Brand,Density at boiling point,weight (kg),Packing,SERVICE,Product Name,Flammability Range (in air),Origin,Packaging Details,Item,Business Type,UN No.,Complexion,Boiling point @101.325 kPa,Molecular weight,model number,NET WEIGHT,Water Solubility,Place of Origin,DELIVERY  TIME,Feature,Function,Selling Units:,Supply Ability,Thickness,Classification,Name,Quality,Surface finishing,Critical Density(g/m3),organic,grade,machinery test report,after-sales service provided,CONNECTION:,Volume,Model Number,"Boiling Point, °C",Packing Way,Purpose,operating language,Hazards,Purity,Moisture,Shape,Halocarbon global warming potential,Package,MOISTURE,Outer Diameter,Boiling Point ℃,video outgoing-inspection,Melting Point,Expiration Date,Molecular Weight,Sealing Type,Price,warranty,Single package size:,Ozone depletion potential,Color,OEM,Length,Single gross weight:,Service,Type,Weight,toxic,Shelf life,place of origin,Logo printing,application,Delivery time,Keywords,Delivery date,Refrigerant,Acidity,MF,Reference NO.,UN NO,"Boiling  Point,             C at 1013bar",Use,Application,Description,GWP,type,Model type,power source,Appearance,Critical   Pressure,Car Model,Auto-ignition temperature,Brand Name,feature,Boiling Point,Inner coating,brand name,Net weight,Working pressure,Chemical Name,Diameter,Tube material,Other Names,DOT Class,EINECS No.,Body thickness,Size,Printing,Critical   Temperature,Certification,OE NO.,Voltage,Odor,Molecular Mass,Metal Type,color,Boiling Point(1atm/℃),Model,ODP,Sample,logo/pattern,Cylinder Standard,Displacement,Carton,Chloride,Pressure,"Acidity, PPm",CAS No.,Grade,Wall thickness,condition,Surface Handling,Purity %,Certificate,customized support,Logo,Burst pressure,Product name,Critical   Pressure(Mpa),Usage,Port,After-sales Service Provided,Transport quantity,CAS,Industrial Use,Critical   Temperature C,Material,Keyword,Grade Standard,Printing Handling,Wall Thickness,Warranty,Other name,MOQ
Gases for Industrial Use,https://www.alibaba.com/product-detail/Gases-for-Industrial-Use_1601371739648.html,2025-02-19 16:53:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"R-22 Gas for Sale, Premium-Grade Refrigerant for Air Conditioning Systems, Industrial Cooling Solutions",https://www.alibaba.com/product-detail/R-22-Gas-for-Sale-Premium_10000023751326.html,2025-02-19 16:54:06,N/A,N/A,N/A,Customer's Brand Accepted,N/A,N/A,Individual Packs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,France,N/A,N/A,N/A,N/A,N/A,N/A,Alkene & Derivatives,N/A,High Quaiity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,Customizable Packaging,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OEM ODM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15-25 Days,N/A,N/A,562-92-3,N/A,N/A,N/A,N/A,Agriculture and industry,N/A,N/A,N/A,N/A,N/A,Liquid,N/A,N/A,N/A,Custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agriculture Grade, Industrial Grade",N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Refrigerants-Gas-R132A-410A-R404A-R407A_11000019030566.html,2025-02-19 16:54:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ankara, Turkey",N/A,N/A,N/A,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,N/A,N/A,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,N/A,ac fridge,N/A,N/A,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ac gas,N/A,refrigerant gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agriculture Grade, Electron Grade, Food Grade, Industrial Grade",N/A,N/A,N/A,N/A,N/A
134 High Quality Refrigerant Gas for air Conditioning 134A,https://www.alibaba.com/product-detail/134-High-Quality-Refrigerant-Gas-for_1601254496530.html,2025-02-19 16:54:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,Single item,N/A,N/A,Alkyne & Derivatives,gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,Carton Box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.5X24.5X42.5 cm,N/A,Colerless,N/A,N/A,16.600 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CH2,N/A,N/A,N/A,N/A,cooling,N/A,N/A,N/A,N/A,N/A,colorness,N/A,N/A,N/A,CM,N/A,N/A,N/A,N/A,13.6,N/A,N/A,N/A,N/A,gas,N/A,234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,354-44,N/A,N/A,N/A,N/A,99.9min,N/A,N/A,N/A,N/A,N/A,N/A,HVAC Systerm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agriculture Grade, Industrial Grade, Reagent Grade",N/A,N/A,N/A,N/A,1 Cylinder
"R134a Refrigerant Gas Price ,good Sales in Market",https://www.alibaba.com/product-detail/R134a-Refrigerant-Gas-Price-good-Sales_1600465528156.html,2025-02-19 16:54:40,N/A,N/A,N/A,N/A,N/A,N/A,Disposable Cylinder 30lb/13.6kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.0,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,Alkyl & Derivatives,Competitive Refrigerant R134a Gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a,N/A,N/A,N/A,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Colorless Refrigerant,N/A,N/A,N/A,N/A,Eco-friendly Refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134a Refrigerant,N/A,N/A,N/A,C4H10,N/A,N/A,N/A,N/A,"Refrigerant,can replace",N/A,1300,N/A,N/A,N/A,"Colorless, No turbid",N/A,N/A,N/A,N/A,N/A,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a refrigerant,N/A,200-891-8,N/A,N/A,N/A,101.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75-28-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Purity Refrigerant Gas R134a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manufacturers Direct Sales of High Quality Refrigerant Gas,https://www.alibaba.com/product-detail/Manufacturers-Direct-Sales-of-High-Quality_1601243478867.html,2025-02-19 16:55:45,N/A,N/A,N/A,N/A,N/A,N/A,Disposable Cylinder 30lb/13.6kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Single item,N/A,N/A,hydrocarbon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,N/A,N/A,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,Colorless Refrigerant,N/A,N/A,kg,N/A,Eco-friendly Refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,1300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agriculture Grade,N/A,N/A,N/A,N/A,N/A
Coolmax New New Materials  R404a Refrigerant Gas 10.9kg  99.9% Purity for Car Air Conditioner Refrigerant for Auto Ac Systems,https://www.alibaba.com/product-detail/Coolmax-New-New-Materials-R404a-Refrigerant_1601270209081.html,2025-02-19 16:55:53,N/A,N/A,New,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas R404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,High-Quality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,for replace/repair,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,Original Color,N/A,N/A,kg,N/A,Refrigerant Gas,N/A,N/A,N/A,N/A,N/A,N/A,7-15 Days,N/A,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,Car Air Conditioning System,N/A,N/A,N/A,N/A,N/A,cylinder,N/A,universal,N/A,Coolmax,N/A,N/A,N/A,N/A,10.9KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.9KG,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A
R404 Hot Sale R404 13.6kg Refrigerant Gas 99.9% Purity for Air Conditioner and Refrigerator,https://www.alibaba.com/product-detail/R404-Hot-Sale-R404-13-6kg_1601260901820.html,2025-02-19 16:56:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25X25X45 cm,N/A,N/A,N/A,N/A,17.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Goldsail gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R134a Refrigerant Auto Ac air Conditioning Refrigerant Gas Supply / 12kg R134a Refrigerant Gas Professional Manufacture,https://www.alibaba.com/product-detail/R134a-Refrigerant-Auto-Ac-air-Conditioning_11000021359003.html,2025-02-19 16:57:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,r134a gas,N/A,N/A,N/A,N/A,N/A,Mulit-purpose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DIY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hand-operated Manual,N/A,N/A,N/A,"New York, United States",N/A,N/A,N/A,r134a gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Multi Functional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"OEM, ODM",N/A,N/A,r134a gas,N/A,Easy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
High Purity Refrigerant Gas HFO No Pollution Eco-friendly R1234yf Automobile Air Conditioning,https://www.alibaba.com/product-detail/High-Purity-Refrigerant-Gas-HFO-No_1600655934328.html?s=p,2025-02-19 16:57:15,N/A,N/A,N/A,N/A,N/A,N/A,NON-REFILLABLE DISPOSSABLE CYLINDER,N/A,N/A,N/A,N/A,"Disposable cylinder: 4.5kg  5kg 10kg 
Recyclable cylinder: 12L, 800L, 926L,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,5KG,N/A,China,N/A,N/A,N/A,N/A,100 Metric Ton/Metric Tons per   Year,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1234yf,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eco-friendly Refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant HFO 1234yf,N/A,N/A,N/A,CF3CF=CH2,N/A,N/A,N/A,N/A,Automobile Air conditioning,N/A,4,N/A,N/A,N/A,Colourless,N/A,N/A,N/A,E-KOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1234yf,N/A,468-710-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,754-12-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No pollution 1234 yf,N/A,N/A,"Ningbo, Shanghai",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,N/A,N/A
"99.9% Purity R410a Refrigerant Gas for Air Conditioner AC Cooling Gas R410 25Lbs, 11.3kg",https://www.alibaba.com/product-detail/99-9-Purity-R410a-Refrigerant-Gas_1601275618400.html,2025-02-19 16:57:24,N/A,N/A,N/A,SHINGCHEM/OEM,N/A,N/A,Disable Steel Cylinder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Single item,N/A,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R410a,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,Colorless Refrigerant,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3H3F7,N/A,N/A,N/A,N/A,Refigerant Systems,N/A,1700,N/A,N/A,N/A,Colorless Gas,N/A,N/A,N/A,SHINGCHEM/OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genetron AZ-20,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-43.8,N/A,0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,133023-17-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R410a,4.814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agriculture Grade, Electron Grade, Industrial Grade, Medicine Grade, Reagent Grade",N/A,N/A,N/A,N/A,500
