Product Title,Product URL,Date Scraped,Height,odor,Condition,Brand,Density at boiling point,weight (kg),Packing,SERVICE,Product Name,Flammability Range (in air),Origin,Packaging Details,Item,Business Type,UN No.,Complexion,Boiling point @101.325 kPa,Molecular weight,model number,NET WEIGHT,Water Solubility,Place of Origin,DELIVERY  TIME,Feature,Function,Selling Units:,Supply Ability,Thickness,Classification,Name,Quality,Surface finishing,Critical Density(g/m3),organic,grade,machinery test report,after-sales service provided,CONNECTION:,Volume,Model Number,"Boiling Point, °C",Packing Way,Purpose,operating language,Hazards,Purity,Moisture,Shape,Halocarbon global warming potential,Package,MOISTURE,Outer Diameter,Boiling Point ℃,video outgoing-inspection,Melting Point,Expiration Date,Molecular Weight,Sealing Type,Price,warranty,Single package size:,Ozone depletion potential,Color,OEM,Length,Single gross weight:,Service,Type,Weight,toxic,Shelf life,place of origin,Logo printing,application,Delivery time,Keywords,Delivery date,Refrigerant,Acidity,MF,Reference NO.,UN NO,"Boiling  Point,             C at 1013bar",Use,Application,Description,GWP,type,Model type,power source,Appearance,Critical   Pressure,Car Model,Auto-ignition temperature,Brand Name,feature,Boiling Point,Inner coating,brand name,Net weight,Working pressure,Chemical Name,Diameter,Tube material,Other Names,DOT Class,EINECS No.,Body thickness,Size,Printing,Critical   Temperature,Certification,OE NO.,Voltage,Odor,Molecular Mass,Metal Type,color,Boiling Point(1atm/℃),Model,ODP,Sample,logo/pattern,Cylinder Standard,Displacement,Carton,Chloride,Pressure,"Acidity, PPm",CAS No.,Grade,Wall thickness,condition,Surface Handling,Purity %,Certificate,customized support,Logo,Burst pressure,Product name,Critical   Pressure(Mpa),Usage,Port,After-sales Service Provided,Transport quantity,CAS,Industrial Use,Critical   Temperature C,Material,Keyword,Grade Standard,Printing Handling,Wall Thickness,Warranty,Other name,MOQ
N/A,https://www.alibaba.com/product-detail/99-9-Purity-Gas-Refrigernat-600a_1600256137601.html,2025-02-19 16:58:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100G/CAN 120G/CAN 400G/CAN 6.5KG/CYLINDER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,500 Forty-Foot Container  per   Month,N/A,Alkyl & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,.6.5KG/cylinder,-11.7°C,N/A,N/A,N/A,N/A,>99.9%,<0.0001%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(CH3)2CHCH3,N/A,1969,N/A,N/A,"refrigerant gas ,cooling",N/A,N/A,N/A,N/A,N/A,"Colorless, clear",N/A,N/A,N/A,superfrio/OEM/Neutral packing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigerant R600A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Odorless Refrigerant Gas,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,75-28-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant Gas R600a,N/A,N/A,ningbo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/competitive-prices-Refrigerant-gas-available-for_11000021024605.html,2025-02-19 16:58:53,N/A,N/A,N/A,N/A,N/A,76,Customer's Requirement,OEM ODM,Refrigerant gas,N/A,Brazil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Qulaity,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,Unavailable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brazil,N/A,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Compressor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rubber and plastic,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refrigerator Gas Can R134a Refrigerant Gas Can for Car air Conditioner,https://www.alibaba.com/product-detail/Refrigerator-Gas-Can-R134a-Refrigerant-Gas_62446476347.html,2025-02-19 16:59:11,100-240mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,Powder-coated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Necked-in,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cap with Brush,N/A,N/A,150X130X120 cm,N/A,N/A,N/A,N/A,0.100 kg,N/A,N/A,N/A,N/A,N/A,N/A,custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YONGJIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35mm,Diameter 65/70mm,CMYK  Printing,N/A,N/A,N/A,N/A,N/A,N/A,TINPLATE,N/A,N/A,N/A,N/A,free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hot Stamping,N/A,ISO9001:2008,N/A,Accept Customer's Logo,N/A,N/A,N/A,aerosol,N/A,N/A,N/A,N/A,Chemical,N/A,Tinplate,N/A,N/A,"Silk screen printing, offset lithography, cameo printing, Flexographic Printing, Digital printing, Gold Stamp, curved surface printing",N/A,N/A,N/A,N/A
Best Quality 99.9% Pure Gas Refrigerant R409A Mixed Refrigerant R409A at Competitive Price,https://www.alibaba.com/product-detail/Best-Quality-99-9-Pure-Gas_11000017344456.html,2025-02-19 16:59:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Refrigerant AC Gas Charging Valve Refrigerant Copper Material 1/4"" Pipe",https://www.alibaba.com/product-detail/Refrigerant-AC-Gas-Charging-Valve-Refrigerant_1600231945097.html?s=p,2025-02-19 17:00:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AS REQUEST,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carton Box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,1X1X1 cm,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,N/A,N/A,N/A,"Fujian, China",N/A,Commercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,charging valve,N/A,Conditioning Fitting,N/A,Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,3000pcs
99.9% High Purity  R410a Refrigerant Gases Blend HFC Gas 11.3KG Small Disposable Cylinder,https://www.alibaba.com/product-detail/99-9-High-Purity-R410a-Refrigerant_10000021789034.html,2025-02-19 17:00:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HVAC Refrigeration  Manifold Gauge Set HS-536C for R22 R404A R134A,https://www.alibaba.com/product-detail/HVAC-Refrigeration-Manifold-Gauge-Set-HS_1601116266124.html?s=p,2025-02-19 17:01:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manifold Gauge Set,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HS-536C,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paper box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,25X15X18 cm,N/A,N/A,N/A,N/A,3.000 kg,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,Home,N/A,N/A,N/A,R22 R404A R407C R134a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Parts,N/A,"Gas, Manual",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HONGSEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16set,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refrigerant R134a Gas Aerosol Can Refrigerant 134 Can Gas 390g,https://www.alibaba.com/product-detail/Refrigerant-R134a-Gas-Aerosol-Can-Refrigerant_289337551.html,2025-02-19 17:01:24,50mm-265mm,N/A,N/A,N/A,N/A,N/A,Carton,N/A,empty Aluminum Aerosol Can,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000ML,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8X8X25 cm,N/A,N/A,N/A,N/A,0.090 kg,N/A,N/A,N/A,N/A,N/A,N/A,YES,N/A,30 Working Days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PANCAN,N/A,N/A,epoxy  resin,N/A,N/A,N/A,N/A,22mm-88mm,N/A,N/A,N/A,N/A,N/A,N/A,offset printing 6 colours,N/A,N/A,N/A,N/A,N/A,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chemical,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,10000pcs
R134a 340g Refrigerant Gas Can High Purity Gas Best Cooling System,https://www.alibaba.com/product-detail/R134a-340g-Refrigerant-Gas-Can-High_1600867865134.html,2025-02-19 17:01:37,N/A,N/A,N/A,N/A,5.26kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clear and colorless,- 26.18℃,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Single item,N/A,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a,N/A,N/A,N/A,N/A,N/A,99.93%,N/A,N/A,1300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.03,N/A,N/A,N/A,6.7X6.7X14.8 cm,0,N/A,N/A,N/A,0.650 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CH2F-CF3,N/A,N/A,N/A,N/A,Refrigerant Gas,N/A,N/A,N/A,N/A,N/A,Colorless,N/A,N/A,770℃,M COOL / OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tetrafluoroethane,N/A,212-377-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.0003,N/A,N/A,811-97-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a 340g refrigerant gas can package,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/R123-Refrigerant-Gas_596118755.html,2025-02-19 17:02:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/R134a-Refrigerant-Gas-R1234ze-Fro-Car_1601225051777.html,2025-02-19 17:02:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Manufacturers-Selling-Hydrocarbon-Derivatives-Various-Types_1601364827583.html,2025-02-19 17:03:05,N/A,N/A,N/A,N/A,N/A,N/A,Disposable Cylinder 30lb/13.6kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,Colorless Refrigerant,N/A,N/A,kg,N/A,Eco-friendly Refrigerant,10kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Gas,N/A,N/A,1300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200bar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steel,N/A,N/A,N/A,1.2MM,N/A,N/A,N/A
Refrigerant Gas R116 for Sale,https://www.alibaba.com/product-detail/Refrigerant-Gas-R116-for-Sale_62398293757.html,2025-02-19 17:03:23,N/A,odorless,N/A,NRD,N/A,N/A,Steel Cylinder,N/A,N/A,non-flammable,N/A,"standard export packing: High pressure seamless steel cylinder, each cylinder to be protected by two poly-nets,standing on wooden pallet wrapped by plastic film",N/A,N/A,2193,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,500 Ton/Tons per   Month,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,inorganic,N/A,N/A,N/A,N/A,N/A,C116,N/A,N/A,N/A,N/A,High Pressure and Suffocation,99.9%~99.999%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non-toxic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C2F6,N/A,N/A,N/A,N/A,Industry,N/A,N/A,N/A,N/A,N/A,colorless,N/A,N/A,N/A,OEM accept,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Halocarbon 116, Hexafluoroethane",N/A,200-939-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,colorless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76-16-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chinese seaport / airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Agriculture Grade, Electron Grade, Industrial Grade, Medicine Grade, Reagent Grade",N/A,N/A,N/A,N/A,N/A
Factory COOLWE Supply Refrigerant Gas R600 Cool Gas R600 R600a Refrigerant Good Price,https://www.alibaba.com/product-detail/Factory-COOLWE-Supply-Refrigerant-Gas-R600_1600721752005.html,2025-02-19 17:03:40,N/A,N/A,N/A,COOLWE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,Alkyne & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R600A,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,Disposable Steel Cylinder,≤20ppm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eco-friendly Refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R600 Gas,N/A,N/A,≤1ppm,CH2FCF3,N/A,N/A,N/A,N/A,Car air condition,N/A,N/A,N/A,N/A,N/A,"Colorless, No turbid",N/A,N/A,N/A,COOLWE,N/A,N/A,N/A,N/A,6KG,N/A,N/A,N/A,N/A,Isobutane R600A,N/A,200-891-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Odoriess,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75-28-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigerant gas R600A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Industrial Grade, Reagent Grade",N/A,N/A,N/A,N/A,N/A
