Product Title,Product URL,Date Scraped,cold room Functions,Tem. range,Door Size,Effective Width,Specification:,cold room Refrigerant,Temperature range,Condition,Panel Connection,Brand,temperature Range,After Warranty Service,Service Door,size range,Panel Material,Thickness of Color Steel,Usage of cold room,Structure,Packaging Details,Floor of Blast Freezer Room,Cooling system,OEM/ODM,After-sales Service,Communication Port,Max. wind speed,Orientation,model number,Warranty of core components,Operate Temperature,key selling points,Place of Origin,core components,Product name:,Compressive Strength,Feature,Function,Cell size,Selling Units:,Thickness,Supply Ability,Cooling way,Applicable Industries,Name,Panel,Power (W),machinery test report,Foaming material,Type of door,cold room Color,Showroom Location,Usage:,Fireproof Grade,Insulation Material,Panel material,Model Number,Raw Material,Marketing Type,Voltage (V),Width,cold room Type,Panel Dimensions,Battery cell,Snow Load,Surface,size,Shape,Foundation,Pu Panel,Glass,voltage,Package,Fireproof,evaporator,Steel Material,Thinckness,video outgoing-inspection,Dimension (L*W*H),Fish Cold Storage Door,warranty,Controller Type,Single package size:,Cable,Water Absorption Rate,Battery Box,Solar Panel,Color,OEM,Length,Single gross weight:,Cooling way:,Solar panel,Project Solution Capability,Load Power (W),System Type:,Type,cold room Name,Thickness of panel,Battery Type,Surface Material,Weight,Junction Box,Mounting Type,Nominal Capacity,Door type,Output Frequency,place of origin,Battery stype,Keywords,Output Voltage (V),Refrigerant,Density,Dimension(L*W*H),door type,Compressor,Use,Fire resistance,Standard air cooler,Cell Type,Application,Wall,Semi buried door,compressor brand,Solar panel:,OEM Order,Connector,Metal Sheet Thickness,Smart Power box,Design Style,Condensing Unit,Advantage,Inverter:,Battery:,Solar Panel Type,Brand Name,Panel thickness,Dimensions (L x W x H (Inches),Video outgoing-inspection,Application of Industry,Core material,feature,Condenser Type,brand name,cooling capacity,Frame,Free installation service,Key Selling Points,Functions,cold room Certification,Cooling,Protection Class,Grid connection,Output cable,Weight (KG),Corner,Size,Transport and load,PU Core Density,Certification,mounting structure:,Voltage,Compressor brand,Certificates,Inside material,color,dimension(l*w*h),product,temperature,Surface material,Pre-sales project design,Refrigeration Type,Sample,Panel Efficiency,Thermal Conductivity,Product Type,Refrigerant:,Filling material,Flame retardancy,After-sale Service,After Warranty Service:,Polyurethane,System,panel thickness,power,Certificate,Edge Treatment,Certification:,Design,Insulation material,Batteries,Logo,Specification,Cold room panel,Product name,Accessories:,Cycle life,Blast Freezer Room Doors,Usage,Port,After-sales Service Provided,Work Time (h),cold room Thickness of panel,Keyword:,Temp controller,Nominal Voltage,Material,Keyword,Doors,Outside material,Solar cell,Warranty,Cold room doors,Wind Load
Fire Proof Sandwich Panels Easy to Install  for Cold Room and Storage to Better Keep Temperature 50MM150MM 200MM 100MM 70MM,https://www.alibaba.com/product-detail/Fire-Proof-Sandwich-Panels-Easy-To_1601335627290.html?s=p,2025-02-19 17:10:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online Guidance,N/A,N/A,Polyurthane Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sustainable,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AC 220V~240V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm/75mm/100mm/120mm/150mm/200mm/300mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,Fireproof Insulation Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Freezer Room,N/A,N/A,"Copeland, Bitzer, hitachi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,BK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Galvanized Steel Stainless Steel,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Foam,N/A,N/A,N/A,N/A,Cold Storage PU-panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Customized Cold Storage Room Size 20ft 40ft Container Solar Cold Room With 550W 30V Solar Panels,https://www.alibaba.com/product-detail/Customized-Cold-Storage-Room-Size-20ft_1600933971719.html,2025-02-19 17:10:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Service Life,N/A,motor,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10CM.0.426 color steel,N/A,380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,500X300X300 cm,N/A,N/A,For 8pcs 200ash/12V,550W/30V,N/A,N/A,N/A,500.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zhejiang,N/A,N/A,N/A,R404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.8*0.8m,"Copeland, Bitzer, Emerson",N/A,N/A,N/A,N/A,5000kva(80a),N/A,DC Inverter Monoblaock condenser unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,Enfriar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,off grid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200AH/12V gel battery,N/A,N/A,N/A,Solar Powered Cold Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/50-Ton-Cold-Room-Cool-Room_10000022913224.html?s=p,2025-02-19 17:10:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cam-lock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,"Pressure vessel, motor, Bearing, Other, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100mm/120mm,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V, 380V, 420V, 440V(All Types Are Available)",N/A,N/A,N/A,N/A,N/A,Provided,N/A,Hinged / Sliding / Swing / Lifting Doors,5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanized steel/Stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Other, TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,Container,"Air Cooled, Water Cooled, Evaporative",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40+-/2kg/M2,N/A,N/A,"220V, 380V, 420V, 440V(All Types Are Available)",N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cold room storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Fire-Proof-Sandwich-Panels-Easy-To_1601335627290.html?s=p,2025-02-19 17:11:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online Guidance,N/A,N/A,Polyurthane Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sustainable,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AC 220V~240V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm/75mm/100mm/120mm/150mm/200mm/300mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,Fireproof Insulation Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Freezer Room,N/A,N/A,"Copeland, Bitzer, hitachi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,BK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Galvanized Steel Stainless Steel,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Foam,N/A,N/A,N/A,N/A,Cold Storage PU-panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Commercial-Walk-in-Cooler-Sanyo-Compressor_1601377601326.html,2025-02-19 17:12:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XFLK-A66,N/A,N/A,High productivity,N/A,"PLC, Pump, compressor",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"380V, 110V, 220V",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 YEAR,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Emerson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,Xiangfeng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,custom made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Room Panels Supplier for Vegetables/ Meat/ Fish  Insulated Panels for Cold Storage,https://www.alibaba.com/product-detail/Cold-Room-Panels-Supplier-for-Vegetables_1601253689308.html?s=p,2025-02-19 17:12:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BP-088,N/A,N/A,Competitive Price,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,Insulation,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220 /380 /400V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.100 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,Container,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane or rock wool,N/A,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,N/A,N/A,N/A,cold room / cold storage,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color steel or stainless steel,N/A,one year,N/A,N/A
Factory Mushroom Growing Solar Powered for Meat Storage Cold Room Chinese Soundproof Panel Building Materials Customized 5 Years,https://www.alibaba.com/product-detail/Factory-Mushroom-Growing-Solar-Powered-for_1600561787877.html,2025-02-19 17:13:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Solar Panel Powder Built-in Battery Deep Cold Freezer Room Storage,https://www.alibaba.com/product-detail/Solar-Panel-Powder-Built-in-Battery_1601199880540.html,2025-02-19 17:13:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free spare parts,N/A,N/A,N/A,N/A,N/A,N/A,Easy to Operate,N/A,"motor, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar panel,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,200X105X125 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,fruit and vegetable cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Other, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,Lin fan,3ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2220*1800*2200mm,N/A,-18℃ ~ -30℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, Other, 50MM, 150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,solar powderconter freezer cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Solar Panel Powder Built-in Battery Deep Cold Freezer Room Storage,https://www.alibaba.com/product-detail/Solar-Panel-Powder-Built-in-Battery_1601199880540.html,2025-02-19 17:15:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free spare parts,N/A,N/A,N/A,N/A,N/A,N/A,Easy to Operate,N/A,"motor, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar panel,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,200X105X125 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,fruit and vegetable cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Other, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,Lin fan,3ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2220*1800*2200mm,N/A,-18℃ ~ -30℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, Other, 50MM, 150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,solar powderconter freezer cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
