Product Title,Product URL,Date Scraped,cold room Functions,Tem. range,Door Size,Effective Width,Specification:,cold room Refrigerant,Temperature range,Condition,Panel Connection,Brand,temperature Range,After Warranty Service,Service Door,size range,Panel Material,Thickness of Color Steel,Usage of cold room,Structure,Packaging Details,Floor of Blast Freezer Room,Cooling system,OEM/ODM,After-sales Service,Communication Port,Max. wind speed,Orientation,model number,Warranty of core components,Operate Temperature,key selling points,Place of Origin,core components,Product name:,Compressive Strength,Feature,Function,Cell size,Selling Units:,Thickness,Supply Ability,Cooling way,Applicable Industries,Name,Panel,Power (W),machinery test report,Foaming material,Type of door,cold room Color,Showroom Location,Usage:,Fireproof Grade,Insulation Material,Panel material,Model Number,Raw Material,Marketing Type,Voltage (V),Width,cold room Type,Panel Dimensions,Battery cell,Snow Load,Surface,size,Shape,Foundation,Pu Panel,Glass,voltage,Package,Fireproof,evaporator,Steel Material,Thinckness,video outgoing-inspection,Dimension (L*W*H),Fish Cold Storage Door,warranty,Controller Type,Single package size:,Cable,Water Absorption Rate,Battery Box,Solar Panel,Color,OEM,Length,Single gross weight:,Cooling way:,Solar panel,Project Solution Capability,Load Power (W),System Type:,Type,cold room Name,Thickness of panel,Battery Type,Surface Material,Weight,Junction Box,Mounting Type,Nominal Capacity,Door type,Output Frequency,place of origin,Battery stype,Keywords,Output Voltage (V),Refrigerant,Density,Dimension(L*W*H),door type,Compressor,Use,Fire resistance,Standard air cooler,Cell Type,Application,Wall,Semi buried door,compressor brand,Solar panel:,OEM Order,Connector,Metal Sheet Thickness,Smart Power box,Design Style,Condensing Unit,Advantage,Inverter:,Battery:,Solar Panel Type,Brand Name,Panel thickness,Dimensions (L x W x H (Inches),Video outgoing-inspection,Application of Industry,Core material,feature,Condenser Type,brand name,cooling capacity,Frame,Free installation service,Key Selling Points,Functions,cold room Certification,Cooling,Protection Class,Grid connection,Output cable,Weight (KG),Corner,Size,Transport and load,PU Core Density,Certification,mounting structure:,Voltage,Compressor brand,Certificates,Inside material,color,dimension(l*w*h),product,temperature,Surface material,Pre-sales project design,Refrigeration Type,Sample,Panel Efficiency,Thermal Conductivity,Product Type,Refrigerant:,Filling material,Flame retardancy,After-sale Service,After Warranty Service:,Polyurethane,System,panel thickness,power,Certificate,Edge Treatment,Certification:,Design,Insulation material,Batteries,Logo,Specification,Cold room panel,Product name,Accessories:,Cycle life,Blast Freezer Room Doors,Usage,Port,After-sales Service Provided,Work Time (h),cold room Thickness of panel,Keyword:,Temp controller,Nominal Voltage,Material,Keyword,Doors,Outside material,Solar cell,Warranty,Cold room doors,Wind Load
N/A,https://www.alibaba.com/product-detail/New-Design-Containerized-Solar-Powered-Containerized_62255527916.html,2025-02-19 17:17:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wood crate and safely fixed while loading all items in container,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,"PLC, compressor",N/A,N/A,N/A,N/A,N/A,Single item,N/A,100 Set/Sets per   Year,Evaporative Cooling,N/A,New Design Containerized Solar Powered Containerized Cold Room,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/3P/50Hz,N/A,N/A,air fan or aluminum pipe,N/A,N/A,Provided,N/A,N/A,15months,N/A,1219X243X289 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China","Lead-Acid, Lithium Ion",N/A,N/A,R-22 R-404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized Size,N/A,Customize,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,goods storage,shanghai port,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,"304 stainless steel, or galvanized steel",N/A,N/A,N/A,N/A,15months,N/A,N/A
30x60 Anti Blue Light Clear Laser Cutting Toughened Ultra Clear Tempered Laminated Glass Solar Panels in Toughened Glass,https://www.alibaba.com/product-detail/30x60-Anti-Blue-Light-Clear-Laser_1600903127506.html?s=p,2025-02-19 17:18:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300*300---3000*2000,N/A,N/A,N/A,Solid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,4-6 Times Strength,N/A,N/A,N/A,Single item,3mm-12mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,JLFRP-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,flat,N/A,N/A,N/A,N/A,wooden chest,N/A,N/A,N/A,4mm---15mm,N/A,N/A,N/A,N/A,N/A,33X33X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.000 kg,N/A,N/A,total solution for projects,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Courtyard, Leisure Facilities, supermarket, Workshop, School, Bathroom, Bedroom, Dining, Warehouse, Staircase, Park, Wine Cellar, Office Building, Storage & Closet, Gym, Mall, Apartment, Sports Venues, Basement, Hospital, Villa, Hotel, Hall, Garage & Shed",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jiulong,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"right angle,safe corner,round corner,corner cut",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Green Blue Grey Bronze,etc",N/A,Tempered  Glass,N/A,N/A,N/A,N/A,Free Sample,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,CCC/ISO9001/CE,Grinding and polishing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Industrial, Medical, Decoration, Greenhouse",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 years,N/A,N/A
500W Automatic Rotating Solar Panel Stand Cold-Storage-1000-Ton-Capacity Solar Panel Kit De Paneles Solares Para Una,https://www.alibaba.com/product-detail/500W-Automatic-Rotating-Solar-Panel-Stand_1600944012150.html,2025-02-19 17:18:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,According To The Quantity To Select The Most Suitable Package,N/A,N/A,Acceptale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,according to power,Single item,N/A,100000 Watt/Watts per   Week,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,monocrystal solar panel,N/A,N/A,N/A,N/A,N/A,According to power,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.9X2.6X2 cm,N/A,N/A,N/A,N/A,Customized Color,N/A,N/A,1.000 kg,N/A,N/A,N/A,N/A,N/A,All Black,N/A,N/A,N/A,N/A,21- 27KG Contact,IP68 Rated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar Power System,N/A,N/A,N/A,N/A,Acceptable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,monocrystal solar panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anodized Aluminium Alloy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE TUV ISO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ningbo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lovsun 1MWh Energy Storage Battery Container 500Kwh 2MWH 5MWH Solar Lithium Battery Industrial Commercial Energy Storage System,https://www.alibaba.com/product-detail/Lovsun-1MWh-Energy-Storage-Battery-Container_1601297832434.html?s=p,2025-02-19 17:18:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20kw 30kw 50kw 100kw Solar Panel System Power for Cold Store Room Storage Refrigerator Unit Blast Room Walk in Cooler Room,https://www.alibaba.com/product-detail/20kw-30kw-50kw-100kw-Solar-Panel_1601068236407.html,2025-02-19 17:18:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A,N/A,N/A,"Video technical support, Online support, Spare parts",N/A,N/A,N/A,N/A,"Fruits, vegetables, meat, beer,dairy,blood,breads,etc",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,"PLC, compressor, air cooler, cold room light, PUR panels, condenser",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110v~480v,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,200X150X250 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.000 kg,Air Cooled System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hinged Door Sliding Door,N/A,"Henan,China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Bitzer, Daikin, hitachi, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Easy Install,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,Tianjie,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customize,N/A,-60℃ ~ +20℃,Stainless steel or color steel,N/A,N/A,N/A,N/A,N/A,N/A,R-22 R-404A R-407 R-408 R-507,N/A,N/A,N/A,Video technical support,N/A,N/A,"100MM, 200mm, 120mm, 75mm, Other, 50MM, 150mm, pur/pir panels",N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,N/A,N/A,N/A,Freezing Chamber,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Super Solar Panels PV Module PERC 340w - 370w Mono Solar Panel 5BB Monocrytalline Solar Cells High Module Efficiency,https://www.alibaba.com/product-detail/Super-Solar-Panels-PV-Module-PERC_60635368750.html?s=p,2025-02-19 17:19:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"250KW/40ft,100KW/20ft#24 VIP 0.1 USD Solar Panels PV Module PERC 340w - 370w mono solar panel 5BB Monocrytalline Solar Cells High Module Efficiency",N/A,N/A,N/A,N/A,N/A,40m/s,Landscape & portrait,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,Light-weighted,N/A,N/A,Single item,N/A,200000 Kilowatt/Kilowatts per   Month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,solar power system,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4,N/A,N/A,N/A,"Ground Screw, Concrete Block",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35X5X5 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110/120/220/230V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rolling ground or slope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,solar power system,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A,Solar Energy system  Screw-steel--Solar Panel Bracket,N/A,N/A,N/A,N/A,XIAMEN PORT,N/A,N/A,N/A,N/A,N/A,N/A,Aluminum,N/A,N/A,N/A,N/A,10 years,N/A,60
High Quality Solar Panels and Battery for Cold Rooms Freezer Container Solar Cold Room,https://www.alibaba.com/product-detail/High-Quality-Solar-Panels-and-Battery_1601174446115.html,2025-02-19 17:19:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XiamenJialiang,N/A,N/A,High Productivity,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,Air Cooled System,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V/380V/420V/460V Customized,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,32X26X37 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.000 kg,N/A,N/A,N/A,N/A,N/A,Customer-made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Slidding Door,N/A,"Fujian, China",N/A,Coldroom Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Other, Maneurop, Fusheng, DORIN, Sanyo, Emerson, Frascold, Xumei, Jialiang",N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Performance Big Capacity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,Xiamen Jialiang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Stroage Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"> 1000W, 500W, 1.35KW, 750W, 10W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar Cold Room,N/A,N/A,N/A,Freezing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Steel Sheet,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10000-Watt Solar Panel System 470W Grid-Efficient Longi Black N-Type Solar Panels HJT Type Glass Front Cover Government Subsidy,https://www.alibaba.com/product-detail/10000-Watt-Solar-Panel-System-470W_1601359449104.html?s=p,2025-02-19 17:19:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-40C~ +85C,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,182mmx182mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HP-144H 565-585M10,N/A,N/A,N/A,N/A,N/A,2278*1134*35mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2mm High Transmission Tempered Glass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N-TYPE, TOPCON",N/A,N/A,N/A,N/A,28kg,IP68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monocrystal Silicon,N/A,N/A,N/A,N/A,N/A,N/A,MC4 Compatible Connector,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HP POWER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anodized Aluminum Alloy Frame,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.65%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE ISO TUV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R 20kw 30kw 50kw 100kw Solar Energy System Power for Solar Cold Store Machine Room Storage Refrigerator Unit System for Home,https://www.alibaba.com/product-detail/R-20kw-30kw-50kw-100kw-Solar_1601274415613.html,2025-02-19 17:20:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Inner Mongolia, China",N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,75W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Household,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ailan,N/A,680*340*505mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OEM 100kWh 215kWh 400kWh Energy Storage Battery System Industrial Commercial ESS Solar Energy Storage Container,https://www.alibaba.com/product-detail/OEM-100kWh-215kWh-400kWh-Energy-Storage_1600905928936.html?s=p,2025-02-19 17:20:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"rs485, CAN, LAN",N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sms-100kw,N/A,N/A,N/A,N/A,N/A,N/A,Grade A 3.2V 280Ah LiFePO4 Cell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1150*2450*1275mm,N/A,N/A,N/A,115X245X127.5 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2100.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LiFePO4,N/A,2100kg,N/A,N/A,200kWh 400kWh,N/A,N/A,N/A,N/A,Industrial and Commercial Energy Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar Energy Storage Systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SMS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooling,IP55,Off grid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE RoHS UN38.3 MSDS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial Energy Storage Battery-cabinet,N/A,6000 Cycles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,600V-1500V,N/A,N/A,N/A,N/A,N/A,5 Years,N/A,N/A
Solar Cold Room Storage Insulation Metal Panels Competitive Price for Cold Room Panel,https://www.alibaba.com/product-detail/Solar-Cold-Room-Storage-Insulation-Metal_1601359620747.html,2025-02-19 17:20:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel or color steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,Fire Resistant,N/A,N/A,Single item,50/75/100/150/200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BOR-PU PANELS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,N/A,N/A,N/A,Customer's Require,N/A,N/A,kg,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation, Others",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38-42kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Traditional,N/A,N/A,N/A,N/A,N/A,Boer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized Sizes Support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane foam,B1.B2,"Online technical support, Free spare parts, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"steel, Aluminum",N/A,N/A,N/A,N/A,1 Year,N/A,N/A
