Product Title,Product URL,Date Scraped,cold room Functions,Tem. range,Door Size,Effective Width,Specification:,cold room Refrigerant,Temperature range,Condition,Panel Connection,Brand,temperature Range,After Warranty Service,Service Door,size range,Panel Material,Thickness of Color Steel,Usage of cold room,Structure,Packaging Details,Floor of Blast Freezer Room,Cooling system,OEM/ODM,After-sales Service,Communication Port,Max. wind speed,Orientation,model number,Warranty of core components,Operate Temperature,key selling points,Place of Origin,core components,Product name:,Compressive Strength,Feature,Function,Cell size,Selling Units:,Thickness,Supply Ability,Cooling way,Applicable Industries,Name,Panel,Power (W),machinery test report,Foaming material,Type of door,cold room Color,Showroom Location,Usage:,Fireproof Grade,Insulation Material,Panel material,Model Number,Raw Material,Marketing Type,Voltage (V),Width,cold room Type,Panel Dimensions,Battery cell,Snow Load,Surface,size,Shape,Foundation,Pu Panel,Glass,voltage,Package,Fireproof,evaporator,Steel Material,Thinckness,video outgoing-inspection,Dimension (L*W*H),Fish Cold Storage Door,warranty,Controller Type,Single package size:,Cable,Water Absorption Rate,Battery Box,Solar Panel,Color,OEM,Length,Single gross weight:,Cooling way:,Solar panel,Project Solution Capability,Load Power (W),System Type:,Type,cold room Name,Thickness of panel,Battery Type,Surface Material,Weight,Junction Box,Mounting Type,Nominal Capacity,Door type,Output Frequency,place of origin,Battery stype,Keywords,Output Voltage (V),Refrigerant,Density,Dimension(L*W*H),door type,Compressor,Use,Fire resistance,Standard air cooler,Cell Type,Application,Wall,Semi buried door,compressor brand,Solar panel:,OEM Order,Connector,Metal Sheet Thickness,Smart Power box,Design Style,Condensing Unit,Advantage,Inverter:,Battery:,Solar Panel Type,Brand Name,Panel thickness,Dimensions (L x W x H (Inches),Video outgoing-inspection,Application of Industry,Core material,feature,Condenser Type,brand name,cooling capacity,Frame,Free installation service,Key Selling Points,Functions,cold room Certification,Cooling,Protection Class,Grid connection,Output cable,Weight (KG),Corner,Size,Transport and load,PU Core Density,Certification,mounting structure:,Voltage,Compressor brand,Certificates,Inside material,color,dimension(l*w*h),product,temperature,Surface material,Pre-sales project design,Refrigeration Type,Sample,Panel Efficiency,Thermal Conductivity,Product Type,Refrigerant:,Filling material,Flame retardancy,After-sale Service,After Warranty Service:,Polyurethane,System,panel thickness,power,Certificate,Edge Treatment,Certification:,Design,Insulation material,Batteries,Logo,Specification,Cold room panel,Product name,Accessories:,Cycle life,Blast Freezer Room Doors,Usage,Port,After-sales Service Provided,Work Time (h),cold room Thickness of panel,Keyword:,Temp controller,Nominal Voltage,Material,Keyword,Doors,Outside material,Solar cell,Warranty,Cold room doors,Wind Load
Chinese Factory Product 72 Solar Cells Solar Panel 300W 320W 330W 340W 350W PolyCrystalline Solar Panels,https://www.alibaba.com/product-detail/Chinese-Factory-Product-72-Solar-Cells_1600386137194.html?s=p,2025-02-19 17:20:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30pcs in a carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Anhui, China",N/A,N/A,N/A,N/A,N/A,158.75mmx158.75mm,N/A,N/A,800000000000 Watt/Watts per   Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PNG-72P330-350W,N/A,N/A,N/A,N/A,N/A,1956*992*35mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2mm Tempered Low Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4mm ^2 , Length 900mm or customized",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PERC,N/A,N/A,N/A,N/A,23kg,"IP68, 3 diodes",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5BB POLY 157*157mm,"Commercial,Industrial,Home",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PNG Solar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anodized Aluminium Alloy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TUV CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.04%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TUV CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shanghai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A grade,30 years,N/A,N/A
Solar Powered Panels System for Cold Storage Vehicles Walk in Freezer Cold Room System 20ft Solar Power Container Cold Room,https://www.alibaba.com/product-detail/Solar-Powered-Panels-System-for-Cold_1601005504089.html,2025-02-19 17:20:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,woodenbox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,10000000000 Watt/Watts per   Month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C&I SYSTEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2mm Tempered Low Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MPPT,230X180X60 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,Monocrystalline Solar Panel,N/A,"50KW, 30kw, 20kw, 100KW, 1MW, 10MW, Customize",N/A,Off-grid System AC,N/A,N/A,"Lead-Acid, Lithium Ion",N/A,N/A,IP68 Rated Waterproof,"Roof Mounting, Ground Mounting, Carport Mounting, Wall mounting",N/A,N/A,50/60Hz,N/A,N/A,N/A,120V/230V/380V/220V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar Energy System,N/A,N/A,N/A,N/A,N/A,IP68 MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monocrystalline Silicon,XC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,TUV1*4.0mm2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial Industrial Solar Energy System,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,N/A,Photovoltaic Solar Energy System,N/A,N/A,"Half cell,Monocrystalline",N/A,N/A,N/A
Wholesale 700W Bifacial N-Type Monocrystalline Solar Panel for Roof and Balcony with OEM Power Plug High Efficiency PV Panels,https://www.alibaba.com/product-detail/Wholesale-700W-Bifacial-N-Type-Monocrystalline_1601359446059.html?s=p,2025-02-19 17:21:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-40C~ +85C,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,182mmx182mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HP-108H 410-430M10,N/A,N/A,N/A,N/A,N/A,1722*1134*30(mm),N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2mm High Transmission Tempered Glass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Accept OEM Production,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N-TYPE, TOPCON",N/A,N/A,N/A,N/A,22kg,IP68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monocrystal Silicon,Home Commercial Solar System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HP POWER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.02%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE ISO TUV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refrigerated Storage Walk in Freezer Sandwich Panels Cold Room Solar,https://www.alibaba.com/product-detail/Refrigerated-Storage-Walk-in-Freezer-Sandwich_1601267887264.html,2025-02-19 17:21:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Frame + Sandwich Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,Engine,N/A,N/A,constant temperature,Easily Moved,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220v/380v,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,3 years,N/A,10X15X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Heilongjiang, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,frozen food storage,N/A,N/A,N/A,walk in cool room,wall insulation,N/A,Emerson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,Dongan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1274,N/A,N/A,Container Shipment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2120*3840*2320mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Costom Requests,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,low price,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/GCL-Talesun-Solar-Panels-325wp-Monocrystalline_1600125939642.html?s=p,2025-02-19 17:21:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 pcs in a carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Anhui, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,800000000000 Watt/Watts per   Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PNG325-120M,N/A,N/A,N/A,N/A,N/A,1684*1002*35mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2mm Tempered Low Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4mm ^2  300mm PV Cable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"PERC, Half Cell, All Black",N/A,N/A,N/A,N/A,19.5kg,IP68 Rated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mono 158.75x79.375mm,"Commercial,Industrial,Home",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PNG Solar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anodized Aluminium Alloy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TUV CE PID ISO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TUV CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shanghai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Longji,25 years,N/A,N/A
Solar Powered Polyurethane Panels Customized Standard Coldroom/cold Storage Freezer Equipment,https://www.alibaba.com/product-detail/Solar-Powered-Polyurethane-Panels-Customized-Standard_60668607944.html,2025-02-19 17:21:42,N/A,N/A,N/A,N/A,N/A,N/A,-40 C to +20 C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High-accuracy,N/A,"motor, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,Bayer,"Hinge door, convex door, sliding door",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V/380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,One Year,N/A,580X230X240 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,R404A,N/A,N/A,N/A,Copeland Bitzeror Tecumseh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Bitzer, Other, Maneurop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"50mm,75mm,100mm,150mm,200mm",N/A,N/A,Food Industry,N/A,Solar,N/A,DACHANG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO,N/A,N/A,N/A,N/A,N/A,N/A,Customized Standard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized standard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Room 100mm Stainless Steel Metal Polyurethane  Sandwich Panels for Ceiling/roof/ Wall/floor Cool Room,https://www.alibaba.com/product-detail/Cold-Storage-Room-100mm-Stainless-Steel_1601249114547.html?s=p,2025-02-19 17:21:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BP-069,N/A,N/A,Competitive Price,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,Insulation,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220 /380 /400V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.100 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,Container,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane or rock wool,N/A,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,N/A,N/A,N/A,cold room / cold storage,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color steel or stainless steel,N/A,one year,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Small-20ft-Solar-Powered-Cold-Storage_1601287437348.html,2025-02-19 17:22:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customer Choice,N/A,N/A,N/A,N/A,Evaporative Condenser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,Coompressor,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V, 380V, other",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,400X250X250 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.000 kg,N/A,N/A,N/A,N/A,N/A,Customer-made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customer Choice,N/A,China,N/A,N/A,N/A,R-22 R-404A R-407 R-507,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Warehouse,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Fusheng, Emerson, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,ZSTR,N/A,N/A,N/A,N/A,Fruit Vegetable Meat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"> 1000W, Customization",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Panel,Solar Powered Cold Room,N/A,N/A,N/A,N/A,N/A,Online Support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PNG Factory Mono Price 500W Pv Panel Solar Panels 48V 500WATT for Solar Projects,https://www.alibaba.com/product-detail/PNG-Factory-Mono-Price-500W-Pv_1600361348051.html?s=p,2025-02-19 17:22:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fireproof Solar PU Cold Storage Room Panel for Fruit Vegetables Meat and Seafood,https://www.alibaba.com/product-detail/Fireproof-Solar-PU-Cold-Storage-Room_1601326734828.html,2025-02-19 17:22:40,N/A,N/A,N/A,1120 mm   1000mm   1150mm,N/A,N/A,N/A,N/A,N/A,N/A,-185℃~+110℃,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,Fire Resistant,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B1,N/A,N/A,TJpanel-0516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Prepainted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70X70X70 cm,N/A,less 3%,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38-45kg per cubic meter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warehouse,N/A,N/A,N/A,N/A,N/A,N/A,0.4mm~0.8mm,N/A,Modern,N/A,N/A,N/A,N/A,N/A,Tianjie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.022W/mK-0.026W/mK(25℃),N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Other",N/A,50mm 75mm 100mm 120 150mm 200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PIR,N/A,N/A,N/A,N/A,1 Year,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Hot-Selling-100mm-PU-Panel-for_62049905114.html,2025-02-19 17:22:49,Air Conditioning,N/A,N/A,N/A,N/A,R404A/R134A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,Other,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,many colors available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold storage door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V/380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,86X60X60 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,cold room refrigerator freezer for meat and fish price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,AURDAR,Other,N/A,N/A,N/A,N/A,"CE,GS, ROHS,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001,N/A,N/A,N/A,N/A,N/A,N/A,Customized Size,N/A,-45~+20'C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage PU-panel,N/A,N/A,N/A,N/A,N/A,Engineers available to service machinery overseas,N/A,50mm    75mm    100mm   120mm  150mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Factory Wholesale Cool Room Panels Cold Storage Sandwich Panels Inoleum Cold Room Panel,https://www.alibaba.com/product-detail/Factory-Wholesale-Cool-Room-Panels-Cold_1600498181288.html?s=p,2025-02-19 17:23:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BP-94,N/A,N/A,Competitive Price,N/A,"Bearing, Pressure vessel, Gear, Gearbox, PLC, motor",N/A,N/A,Insulation,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220-240V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,Container,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane or rock wool,N/A,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,N/A,N/A,N/A,cold room / cold storage,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color steel or stainless steel,N/A,3 year,N/A,N/A
Industrial Easy-to-Operate Walk-in Freezer 380V Compressor Restaurant Farm Retail Cold Storage Solar Panel,https://www.alibaba.com/product-detail/Industrial-Easy-to-Operate-Walk-in_1601363242823.html,2025-02-19 17:23:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"36 x 81"" Metal Plugin Service Door",N/A,N/A,"0.426, 0.45, 0.5mm",N/A,N/A,N/A,Anti-Skidding Aluminum or Stainless Steel,"Air Cooled System, water cooled system",N/A,N/A,N/A,N/A,N/A,"6m*5m*2.5m, 10m*8m*2.8m",N/A,N/A,Easy to Operate,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Sandwich Insulation Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"380v, 220v, 460v",N/A,N/A,N/A,"Stainless Steel, Color Steel, Embossed Aluminum",N/A,Provided,N/A,N/A,1 Year,N/A,60X20X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,R-404A R-407 R-408 R-507,N/A,N/A,N/A,N/A,N/A,"B1,B2",N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,OnlyKem,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chambre Froide Negative Cool Room Freezer Frezzer Cold Room,N/A,N/A,"Swing Door, Sliding Door, Hinged Door",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
